yb_1,er_1,tm_1,yb_2,er_2,tm_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.001916,0.000532,0.002247,0.134839,0.404671,0.422679,21.595305,0.0,6.249991,0.0,0.0,6.249991,6.249991,918.740613,7e-06
0.003868,0.011632,0.003692,0.32655,0.084894,0.206571,21.528982,0.0,49.999937,12.499987,18.749991,18.74996,56.249928,4618.740964,3.6e-05
0.006661,0.000558,0.047119,0.022193,0.137886,0.063846,5.923329,0.0,74.998962,6.249987,24.999524,43.749451,106.248662,837.489591,0.000381
0.012606,0.026494,0.099082,0.031166,0.00173,0.064205,18.590885,0.0,18.749712,0.0,0.0,18.749712,43.748405,3531.163198,0.000271
0.013194,0.234674,0.166395,0.115825,0.015425,0.13414,31.94959,0.0,37.499296,0.0,12.499912,24.999384,37.499296,581.242619,9.5e-05
0.022214,0.316605,0.27674,0.166239,0.022788,0.380073,18.152738,6.249976,24.999943,0.0,0.0,24.999943,37.499913,3262.484675,3.9e-05
0.024067,0.144849,0.03996,0.229147,0.141544,0.09562,24.033558,0.0,137.499624,0.0,49.99988,87.499744,162.499504,2724.992863,0.000146
0.117877,0.353542,0.140676,0.112699,0.234625,0.012184,24.336235,0.0,418.748389,31.249917,37.499814,349.998658,474.998249,1806.243163,0.000482
0.123389,0.023957,0.075735,0.097256,0.463091,0.139132,30.551993,18.749952,143.748908,6.249999,43.749769,87.499175,274.997952,4106.221095,0.000321
0.14016,0.017994,0.160415,0.052959,0.231131,0.005316,29.039261,6.249996,74.999773,0.0,18.74996,56.249814,131.249654,3887.491428,0.000176
0.169977,0.210762,0.210133,0.296651,0.059912,0.074856,30.865777,0.0,137.499557,6.249991,18.74999,112.499575,168.749413,3406.23964,0.000118
0.189747,0.349744,0.182564,0.002689,0.00789,0.001135,20.110062,12.499971,568.74857,12.499963,43.749908,499.998728,699.998171,1193.746937,0.002163
0.190313,0.091302,0.101826,0.368123,0.45543,0.102044,29.145976,12.499975,168.749688,6.249999,31.249977,124.999737,287.499499,3649.993659,0.000158
0.210316,0.122899,0.337423,0.052266,0.035734,0.275711,7.9593,0.0,18.74924,0.0,0.0,18.74924,24.999239,1631.230418,6.8e-05
0.211952,0.399449,0.166755,0.262722,0.021806,0.176951,9.157245,0.0,149.999777,12.499948,18.74995,118.749879,249.999675,8443.73837,0.000156
0.232363,0.170808,0.145642,0.11462,0.063541,0.245493,32.94622,18.749929,324.999381,12.499983,62.499849,243.749584,506.248995,4668.741583,0.000338
0.255381,0.022162,0.528651,0.539711,0.012913,0.161617,9.712295,0.0,212.499921,12.499987,6.249999,193.749934,549.999778,15831.243558,0.00017
0.269406,0.148833,0.163033,0.332693,0.109937,0.058694,22.585403,18.749971,574.9995,24.999989,43.749962,506.24955,793.749305,6812.494081,0.00039
0.39214,0.567737,0.016884,0.059799,0.163989,0.05902,14.221512,112.49934,1337.49459,24.999954,331.248632,956.246064,1668.743119,2737.488649,0.002356
0.440953,0.320074,0.183642,0.32115,0.443082,0.010002,22.911429,6.666664,913.332374,26.666632,39.999968,839.999111,1046.66553,4086.662369,0.000402
0.545,0.076,0.114,0.112,0.137,0.409,33.0,37.499976,631.249763,43.74997,118.749943,449.999862,1131.249577,13568.745017,0.000364
0.671,0.158,0.121,0.015,0.188,0.116,33.0,68.749957,806.24958,74.99997,93.749956,618.74967,1162.499415,12168.743131,0.000304
0.709,0.0,0.184,0.165,0.0,0.041,33.0,6.249998,343.749897,12.499997,0.0,331.2499,893.749734,23524.993445,0.000229
0.57,0.289,0.059,0.0,0.35,0.289,33.0,37.49997,1187.499137,74.999961,212.499854,887.499329,1368.749014,8193.74436,0.000401
0.513,0.01,0.0,0.0,0.338,0.13,33.0,24.999991,212.499858,31.249969,93.749936,81.249957,268.749842,23018.736426,9.7e-05
0.524,0.147,0.329,0.0,0.301,0.235,33.0,0.0,174.999899,18.749993,24.999991,131.249915,249.999848,7762.49527,8.3e-05
0.634,0.246,0.046,0.0,0.0,0.161,33.0,74.999945,1399.999168,62.49996,293.74982,1006.249411,1724.998955,11693.742578,0.000469
0.658,0.263,0.054,0.24,0.164,0.087,33.0,87.49992,1356.24901,74.999951,287.49981,981.249261,1649.998798,11231.241898,0.000412
0.874,0.088,0.038,0.11,0.162,0.213,33.0,118.74996,1206.249682,74.999987,274.99992,837.499776,1812.49951,23699.993444,0.000371
0.811,0.189,0.0,0.308,0.041,0.371,33.0,212.499945,1062.499711,99.999963,368.749901,549.999862,1356.249618,18637.494711,0.000284
0.888,0.112,0.0,0.553,0.146,0.301,33.0,124.999977,874.999797,118.74997,249.999933,474.999905,1074.999763,21912.49451,0.000204
0.914,0.086,0.0,0.302,0.064,0.621,33.0,124.999984,1068.749855,99.999986,324.999957,637.499913,1337.499818,28624.995991,0.000257
0.687,0.296,0.017,0.424,0.0,0.576,33.0,49.999983,1099.999456,74.999974,281.249873,743.749609,1318.749362,12231.244481,0.000307
0.673,0.087,0.0,0.355,0.0,0.308,33.0,193.749964,1043.74977,106.249987,356.249931,537.499859,1374.999694,21512.49531,0.00035
0.89,0.11,0.0,0.331,0.0,0.126,33.0,183.333297,1116.666429,116.666641,433.333249,524.999877,1424.999706,27299.993634,0.000279
0.809,0.144,0.047,0.364,0.0,0.322,33.0,149.99996,1368.749523,99.999959,199.999916,1031.249662,1912.499394,18956.244224,0.000403
