yb_1,er_1,tm_1,yb_2,er_2,tm_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.001916,0.000532,0.002247,0.134839,0.404671,0.422679,21.595305,0.0,6.249991,0.0,0.0,6.249991,6.249991,918.740613,7e-06
0.003868,0.011632,0.003692,0.32655,0.084894,0.206571,21.528982,0.0,49.999937,12.499987,18.749991,18.74996,56.249928,4618.740964,3.6e-05
0.006661,0.000558,0.047119,0.022193,0.137886,0.063846,5.923329,0.0,74.998962,6.249987,24.999524,43.749451,106.248662,837.489591,0.000381
0.012606,0.026494,0.099082,0.031166,0.00173,0.064205,18.590885,0.0,18.749712,0.0,0.0,18.749712,43.748405,3531.163198,0.000271
0.013194,0.234674,0.166395,0.115825,0.015425,0.13414,31.94959,0.0,37.499296,0.0,12.499912,24.999384,37.499296,581.242619,9.5e-05
0.022214,0.316605,0.27674,0.166239,0.022788,0.380073,18.152738,6.249976,24.999943,0.0,0.0,24.999943,37.499913,3262.484675,3.9e-05
0.024067,0.144849,0.03996,0.229147,0.141544,0.09562,24.033558,0.0,137.499624,0.0,49.99988,87.499744,162.499504,2724.992863,0.000146
0.117877,0.353542,0.140676,0.112699,0.234625,0.012184,24.336235,0.0,418.748389,31.249917,37.499814,349.998658,474.998249,1806.243163,0.000482
0.123389,0.023957,0.075735,0.097256,0.463091,0.139132,30.551993,18.749952,143.748908,6.249999,43.749769,87.499175,274.997952,4106.221095,0.000321
0.14016,0.017994,0.160415,0.052959,0.231131,0.005316,29.039261,6.249996,74.999773,0.0,18.74996,56.249814,131.249654,3887.491428,0.000176
0.169977,0.210762,0.210133,0.296651,0.059912,0.074856,30.865777,0.0,137.499557,6.249991,18.74999,112.499575,168.749413,3406.23964,0.000118
0.189747,0.349744,0.182564,0.002689,0.00789,0.001135,20.110062,12.499971,568.74857,12.499963,43.749908,499.998728,699.998171,1193.746937,0.002163
0.190313,0.091302,0.101826,0.368123,0.45543,0.102044,29.145976,12.499975,168.749688,6.249999,31.249977,124.999737,287.499499,3649.993659,0.000158
0.210316,0.122899,0.337423,0.052266,0.035734,0.275711,7.9593,0.0,18.74924,0.0,0.0,18.74924,24.999239,1631.230418,6.8e-05
0.211952,0.399449,0.166755,0.262722,0.021806,0.176951,9.157245,0.0,149.999777,12.499948,18.74995,118.749879,249.999675,8443.73837,0.000156
0.232363,0.170808,0.145642,0.11462,0.063541,0.245493,32.94622,18.749929,324.999381,12.499983,62.499849,243.749584,506.248995,4668.741583,0.000338
0.255381,0.022162,0.528651,0.539711,0.012913,0.161617,9.712295,0.0,212.499921,12.499987,6.249999,193.749934,549.999778,15831.243558,0.00017
0.269406,0.148833,0.163033,0.332693,0.109937,0.058694,22.585403,18.749971,574.9995,24.999989,43.749962,506.24955,793.749305,6812.494081,0.00039
0.39214,0.567737,0.016884,0.059799,0.163989,0.05902,14.221512,112.49934,1337.49459,24.999954,331.248632,956.246064,1668.743119,2737.488649,0.002356
0.440953,0.320074,0.183642,0.32115,0.443082,0.010002,22.911429,6.666664,913.332374,26.666632,39.999968,839.999111,1046.66553,4086.662369,0.000402
0.388,0.241,0.239,0.357,0.095,0.0,23.0,24.999982,1306.249309,12.49999,93.749953,1193.749371,1731.249007,6749.996119,0.000729
0.393,0.089,0.052,0.521,0.248,0.0,23.0,18.749988,631.249522,43.749961,131.249885,456.249676,887.499341,7962.49399,0.000282
0.392,0.222,0.052,0.089,0.138,0.0,23.0,199.99969,2081.24803,74.999945,493.749601,1456.248532,2599.9974,6218.743726,0.002092
0.377,0.076,0.308,0.003,0.241,0.0,23.0,0.0,418.749399,0.0,24.999972,393.749427,737.498972,2568.747061,0.000827
0.296,0.461,0.0,0.221,0.102,0.002,23.0,206.249697,2249.996658,99.999817,749.998822,1356.248063,2724.995999,8168.737168,0.001621
0.56,0.44,0.0,0.202,0.048,0.099,23.0,462.499684,3281.247769,281.249826,1024.999292,1868.748704,4168.747125,11606.241812,0.002063
0.379,0.354,0.003,0.187,0.105,0.282,23.0,162.499701,1006.247964,74.999881,418.749072,468.749068,1262.497427,7049.98424,0.000758
0.564,0.436,0.0,0.0,0.0,0.0,23.0,1093.749614,6093.748093,556.249848,1481.249509,3799.998829,7649.997571,9693.746741,0.006822
0.739,0.261,0.0,0.0,0.0,0.0,23.0,2474.999306,8912.497389,856.249726,2612.499227,4968.748573,12162.496456,17656.244999,0.009047
0.929,0.071,0.0,0.155,0.0,0.0,23.0,3812.499376,8293.748634,1049.999834,2131.249644,4331.249282,12587.497923,50468.741509,0.005849
0.837,0.032,0.131,0.0,0.0,0.0,23.0,968.749635,3556.248614,424.999842,506.249824,2549.998994,7418.747158,16281.243762,0.005065
0.855,0.145,0.0,0.052,0.188,0.0,23.0,862.499779,3524.999108,406.249885,1118.749728,1812.499552,4743.748805,18962.495394,0.002516
0.766,0.234,0.0,0.237,0.0,0.0,23.0,2156.249398,8243.747682,787.49979,2481.249342,4574.998664,11093.746916,27812.492499,0.004685
0.862,0.138,0.0,0.087,0.0,0.141,23.0,1949.999415,5937.498161,706.249785,1649.999495,3149.998999,8387.497424,26712.49155,0.004495
0.709,0.106,0.0,0.111,0.0,0.0,23.0,3381.248793,8156.247208,949.999733,2299.999123,4299.998551,12087.495801,32818.738823,0.007303
0.762,0.238,0.0,0.108,0.0,0.0,23.0,2581.249032,9268.746479,1056.249619,2843.748997,4793.74806,12431.24525,23949.990894,0.006831
