yb_1,er_1,yb_2,er_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.317042,0.288919,0.038392,0.359837,8.571914,31.249622,274.997966,12.499983,87.499448,162.498649,387.496806,1281.239653,0.000622
0.0,0.0,0.297006,0.15572,12.137875,31.249926,462.498973,31.249937,274.999332,149.999721,612.498669,7087.485042,0.000326
0.444892,0.243467,0.036181,0.08933,16.14579,518.748832,2781.244467,162.49964,931.248056,1587.496976,3568.742921,5168.739511,0.006294
0.0,0.0,0.008852,0.007684,27.06995,0.0,0.0,0.0,0.0,0.0,0.0,324.796671,0.0
0.0,0.0,0.000605,0.022689,25.868183,0.0,0.0,0.0,0.0,0.0,0.0,55.993643,0.0
0.036108,0.428321,0.148463,0.343086,21.03827,6.249991,293.748667,0.0,118.749404,168.749272,331.248528,1912.486588,0.000293
0.136439,0.538629,0.072873,0.366297,13.527386,43.749686,312.498263,12.499887,93.749646,193.748929,431.247641,1887.486193,0.000503
0.106143,0.290295,0.0,0.0,31.15653,68.749461,468.746097,12.499864,218.748058,224.998244,624.994693,2512.47566,0.000896
0.106516,0.573196,0.0786,0.091935,33.238924,18.749908,249.999183,18.749855,74.999709,149.999646,324.998955,2074.994119,0.000274
0.200405,0.521511,0.26062,0.563985,13.839055,6.24994,387.499228,24.999955,149.999793,206.24954,481.249012,3493.74327,0.000223
0.030243,0.810744,0.012164,0.002394,12.445357,93.748909,862.482293,12.499993,174.996213,643.736445,1018.729565,2324.951166,0.009226
0.030881,0.278443,0.053173,0.220888,23.921816,0,181.24618,6.249812,74.998119,99.998249,206.245299,1231.228277,0.000398
0.031112,0.026549,0.505403,0.186246,16.033711,12.499983,356.24963,56.249938,181.249823,112.499872,449.999538,9162.491462,0.000151
0.032696,0.153865,0.08277,0.743234,17.489452,0,99.999647,12.499962,43.749841,43.749845,112.499629,1093.745887,9.70E-05
0.032759,0.139791,0.173078,0.111293,18.026271,37.499864,393.749152,12.499938,174.999665,206.249549,531.248777,5362.485478,0.00051
0.032926,0.105316,0.231296,0.578947,28.074036,6.249961,249.99776,6.249999,118.749175,124.998586,268.747427,1518.730741,0.000252
0.033463,0.42293,0,0,11.281153,37.498102,456.209591,12.499699,81.242266,362.467625,562.449056,249.979745,0.023931
0.033522,0.017686,0.005794,0.848772,16.182166,0,31.249838,0,24.999889,6.249948,49.999667,693.743793,6.00E-05
0.035115,0.026459,0.526371,0.030182,22.230754,6.249996,149.999849,18.749988,99.9999,24.999965,168.749839,11293.73812,7.20E-05
0.035915,0.064826,0.13731,0.023956,15.320736,62.499813,506.247975,37.4999,306.248792,156.249364,649.997483,9781.211564,0.000833
0.036108,0.428321,0.148463,0.343086,21.03827,6.249991,293.748667,0,118.749404,168.749272,331.248528,1912.486588,0.000293
0.03645,0.354849,0.224986,0.008177,9.774046,293.749793,1393.748842,62.499954,456.24956,799.999388,1818.748524,15774.98701,0.0014
0.036766,0.061413,0.563575,0.044649,7.058119,118.749974,637.499836,31.249989,299.999933,262.499927,787.4998,20393.74484,0.000233
0.038193,0.034719,0.175456,0.212488,15.751175,12.499895,149.999232,18.749938,93.749503,37.499791,224.998868,3543.731533,0.000189
0.039086,0.503343,0.91426,0.077094,23.813399,68.749982,949.999588,43.749986,281.249882,612.499722,1149.999494,12337.4934,0.000287
0.03937,0.821759,0.002878,6.30E-05,9.378491,24.999252,506.23214,24.99942,99.996758,374.986084,574.979717,868.723226,0.015635
0.039767,0.594149,0.282267,0.141217,10.783282,112.499806,931.248306,68.749914,337.499346,506.249063,1137.497912,7749.986564,0.000625
0.041153,0.525435,0.231153,0.074132,22.730884,31.249916,887.498152,31.249927,218.749657,624.998593,1037.497791,4987.489851,0.000813
0.041204,0.004056,0.105114,0.045371,27.068267,0,37.49969,0,12.499776,24.999914,56.249566,6512.440877,0.000127
0.041324,0.038589,0.024472,0.045464,7.751305,0,162.486126,0,81.244112,81.242015,206.232656,2568.536184,0.001115
0.04287,0.082678,0.73044,0.040679,26.508337,12.499978,274.999712,6.249986,162.499842,106.249884,331.249653,8562.491121,0.000127
0.043899,0.365627,0.439139,0.543425,30.363468,6.249969,149.997942,6.25,37.499252,106.24869,187.496956,1674.986321,0.000131
0.045278,0.459199,0.354346,0.511898,14.677938,18.749985,312.499652,12.499998,143.749851,156.249803,443.749532,3931.245579,0.000174
0.045952,0.443971,0.321049,0.573003,20.524439,0,181.249588,6.249984,62.499834,112.499771,206.249382,2762.492688,9.40E-05
0.046868,0.026908,0.162152,0.252584,5.780337,56.249767,568.748608,24.999929,231.24949,287.49932,737.498282,3793.74155,0.000594
0.047226,0.173751,0.058276,0.480893,7.424379,6.24997,199.998752,0,112.499397,87.499355,243.748532,1256.240677,0.000287
0.048987,0.268279,0.043063,0.670425,30.811385,18.74992,318.747618,12.499937,112.499169,174.998592,356.247122,1387.484254,0.000526
0.0496,0.059502,0.126653,0.000644,25.459095,37.499513,443.744677,12.499763,256.246936,168.747997,562.493259,6337.420388,0.000968
0.049992,0.347202,0.15149,0.055592,10.285439,187.499484,1074.997228,49.999898,418.748944,568.748466,1449.996231,7881.230621,0.001529
0.051616,0.574256,0.055978,0.765331,24.878852,6.249946,106.24924,0,49.999669,56.249572,143.749018,1124.991708,0.000137
0.051976,0.05844,0.666351,0.024432,15.402322,24.999989,387.499905,43.749987,162.499959,168.749964,468.74987,22618.74479,0.000126
0.053425,0.039762,0.031715,0.117935,25.261027,31.249318,324.993183,12.499075,181.246827,124.997405,412.490452,3037.426928,0.001285
0.054499,0.694435,0.09636,0.63475,19.563463,6.249952,193.749415,0,81.249804,112.499611,256.249137,1537.495163,0.000211
0.055498,0.301697,0,0,21.08038,12.499959,631.239109,12.499766,181.247803,431.241556,731.237107,1218.730001,0.005328
0.055715,0.143564,0.196735,0.225352,6.822439,81.249642,662.497757,18.749946,324.998904,312.498916,837.497078,4687.485725,0.00059
0.058893,0.40664,0.444432,0.415432,20.543796,18.749972,331.249461,24.999976,118.749768,174.999744,387.499353,4218.744037,0.000145
0.05979,0.228232,0.28744,0.03836,24.761267,43.749903,581.248644,18.749934,206.249489,337.499249,687.498331,6118.734791,0.000519
0.059847,0.231964,0.115357,0.128989,15.421183,18.749924,593.746338,12.499984,306.247596,268.748773,743.745134,3887.471983,0.00092
0.060882,0.224967,0.061352,0.058932,9.303873,106.248923,612.489428,37.499082,243.745427,312.49514,862.485847,4099.935579,0.002066
0.062359,0.559185,0.01231,0.131628,27.88102,6.249968,293.748875,0,131.249493,162.499381,331.248794,1406.244025,0.000542
0.062649,0.394032,0.096937,0.240226,29.005616,24.999954,331.247736,18.749922,156.248743,149.999076,393.747401,1799.987564,0.000485
0.063105,0.116149,0.05943,0.202758,11.13156,18.749919,324.99715,18.749837,181.248384,118.748961,443.746271,2118.732979,0.00079
