yb_1,er_1,yb_2,er_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.358187,0.111239,0.039788,0.37096,17.019057,37.499716,487.496133,31.249952,281.247784,162.498589,643.745197,3281.226414,0.00078
0.090912,0.164104,0.143426,0.266589,29.774363,24.999906,393.747768,18.74986,168.749335,199.998631,499.997404,2956.232949,0.000574
0.106143,0.290295,0.0,0.0,31.15653,68.749461,468.746097,12.499864,218.748058,224.998244,624.994693,2512.47566,0.000896
0.038193,0.034719,0.175456,0.212488,15.751175,12.499895,149.999232,18.749938,93.749503,37.499791,224.998868,3543.731533,0.000189
0.262508,0.436026,0.012062,0.810766,29.289257,43.74984,624.998175,37.499867,206.249244,381.249064,737.497787,3131.240001,0.000454
0.34107,0.110258,0.053051,0.020556,21.637993,1018.749107,3487.497061,231.249825,1387.498706,1643.7487,4874.995763,12537.489087,0.006349
0.217064,0.698471,0.043509,0.074177,26.046351,74.999821,1149.997612,43.749927,324.999321,749.998459,1368.747158,3531.242189,0.001291
0.76541,0.093038,0.05828,0.016624,29.07875,1241.66652,4766.666175,549.999945,1533.333189,2391.666412,6349.999319,38299.995698,0.002165
0.116675,0.319271,0.427934,0.173876,28.686449,18.74998,449.999089,37.499887,187.499713,218.749496,537.498845,3774.991434,0.000305
0.0,0.0,0.659883,0.173454,27.811263,0.0,0.0,0.0,0.0,0.0,0.0,3324.993425,0.0
1.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3324.993425,0.0
0.639,0.144,0.088,0.026,29.0,556.249814,3149.999015,318.749879,1087.499678,1643.749501,4012.498747,23399.992474,0.001536
0.71,0.0,0.316,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,52866.658977,0.0
0.6,0.3,0.0,0.06,29.0,318.749888,2099.99922,231.249902,737.499714,1037.499634,2606.249034,13218.745154,0.001079
0.672,0.0,0.0,0.184,29.0,0.0,31.249997,24.999998,6.249999,0.0,49.999995,33224.995963,2e-05
0.881,0.119,0.0,0.286,29.0,231.249945,1493.749618,143.749967,487.499883,812.499785,1931.249509,20812.494533,0.000567
0.858,0.116,0.408,0.0,29.0,556.249875,2806.249236,343.7499,756.249797,1581.24958,3606.249056,35506.240961,0.000874
0.382,0.105,0.194,0.0,29.0,387.499763,1868.748916,174.99991,681.249577,931.249474,2549.998506,16993.74025,0.001344
0.77,0.23,0.0,0.0,29.0,881.249647,4599.998115,474.999807,1418.74942,2462.498989,5881.247583,24337.490518,0.002003
0.775,0.225,0.546,0.0,29.0,406.2499,2531.249412,243.749945,818.749813,1368.749677,3274.999242,24412.494396,0.000769
0.766,0.234,0.028,0.393,29.0,112.49997,1281.249571,106.249974,456.24985,687.499757,1574.999483,13099.995767,0.000492
0.253,0.226,0.0,0.0,29.0,156.249568,1293.746814,112.499665,606.2484,531.248935,1637.495783,6387.483449,0.001528
0.341,0.11,0.053,0.021,21.0,1031.248413,3924.995365,324.999633,1474.998213,1893.747784,5374.993303,11481.236048,0.007755
0.467,0.163,0.178,0.0,21.0,1743.748898,5143.746997,481.249717,1674.998954,2649.998493,7249.995582,19724.988027,0.005097
0.0,0.163,0.0,0.114,21.0,0.0,74.989505,6.247937,31.244144,37.497424,81.238995,243.708163,0.000641
0.632,0.114,0.17,0.0,21.0,2368.748971,6056.247302,612.499753,1881.249158,3137.498598,8706.246228,26743.737861,0.005587
0.505,0.123,0.62,0.0,21.0,306.249919,1549.999531,124.999968,568.74983,806.249744,1981.249406,27449.991872,0.000555
