yb_1,er_1,yb_2,er_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0.317042,0.288919,0.038392,0.359837,8.571914,31.249622,274.997966,12.499983,87.499448,162.498649,387.496806,1281.239653,0.000622
0.0,0.0,0.297006,0.15572,12.137875,31.249926,462.498973,31.249937,274.999332,149.999721,612.498669,7087.485042,0.000326
0.444892,0.243467,0.036181,0.08933,16.14579,518.748832,2781.244467,162.49964,931.248056,1587.496976,3568.742921,5168.739511,0.006294
0.0,0.0,0.008852,0.007684,27.06995,0.0,0.0,0.0,0.0,0.0,0.0,324.796671,0.0
0.0,0.0,0.000605,0.022689,25.868183,0.0,0.0,0.0,0.0,0.0,0.0,55.993643,0.0
0.036108,0.428321,0.148463,0.343086,21.03827,6.249991,293.748667,0.0,118.749404,168.749272,331.248528,1912.486588,0.000293
0.136439,0.538629,0.072873,0.366297,13.527386,43.749686,312.498263,12.499887,93.749646,193.748929,431.247641,1887.486193,0.000503
0.106143,0.290295,0.0,0.0,31.15653,68.749461,468.746097,12.499864,218.748058,224.998244,624.994693,2512.47566,0.000896
0.106516,0.573196,0.0786,0.091935,33.238924,18.749908,249.999183,18.749855,74.999709,149.999646,324.998955,2074.994119,0.000274
0.200405,0.521511,0.26062,0.563985,13.839055,6.24994,387.499228,24.999955,149.999793,206.24954,481.249012,3493.74327,0.000223
0.05,0.674,0.082,0.177,31.0,12.499977,199.99909,0.0,74.999701,118.749391,256.248877,1224.992632,0.000279
0.391,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,66962.489387,0.0
0.111,0.5,0.047,0.304,13.0,18.749906,474.995786,24.999713,131.248799,318.747275,556.24516,1562.488007,0.000873
0.445,0.243,0.036,0.089,17.0,624.999069,3012.495967,243.749713,1068.748575,1562.497791,3856.244613,5774.992071,0.006299
0.371,0.427,0.013,0.087,17.0,356.249248,2687.493686,118.749746,799.998205,1693.745972,3293.742411,3787.490459,0.007063
0.587,0.407,0.066,0.137,17.0,687.4993,3406.246474,249.999768,956.248977,2012.497918,4231.245661,6162.493913,0.004486
0.522,0.318,0.266,0.0,17.0,1399.998706,4831.246021,443.749637,1331.248906,2774.997701,6524.994451,19537.482704,0.003662
0.487,0.297,0.376,0.232,17.0,118.749836,968.748634,43.749929,399.999445,506.249288,1274.99819,8606.23587,0.000489
0.682,0.214,0.116,0.0,17.0,2618.748123,6706.245453,787.499404,1593.748887,3768.747515,9512.493379,18643.737366,0.008796
0.809,0.191,0.332,0.0,17.0,1262.499512,4168.748279,356.249821,1218.749486,2356.249051,5606.24764,27331.238981,0.002436
0.889,0.111,0.0,0.0,17.0,3593.749065,7556.248074,943.749779,1793.749535,3956.249005,11318.747077,17499.995687,0.018986
0.704,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,81243.710043,0.0
0.835,0.165,0.0,0.147,17.0,1087.49909,3931.247181,343.749762,1268.748996,2062.49862,5318.746033,9149.993309,0.007198
0.693,0.307,0.0,0.0,17.0,1624.997791,5831.242716,443.749525,1674.997813,3393.74574,7906.239898,7431.24021,0.015127
0.837,0.163,0.0,0.0,17.0,2706.248025,6918.74486,818.749351,1774.998671,3793.747188,9943.742632,12918.740636,0.017017
0.619,0.143,0.133,0.0,17.0,2237.497669,5618.743363,606.24912,1531.248364,3124.9963,8337.490199,20393.726546,0.007551
0.879,0.121,0.237,0.0,17.0,1931.249427,4956.248534,468.749852,1268.749633,2881.249156,7206.247867,28656.24183,0.003958
0.604,0.396,0.476,0.0,17.0,1191.666101,5058.330696,349.999805,1249.999403,3174.998294,6449.996705,26733.319685,0.002183
0.726,0.274,0.374,0.0,17.0,1412.499525,5131.24848,418.74986,1212.499607,3174.999096,6768.747957,25443.742427,0.002728
0.629,0.371,0.008,0.0,17.0,1456.247681,5949.990242,468.749245,1662.497196,3556.244275,7768.737392,6774.989698,0.014621
0.419,0.18,0.0,0.0,17.0,1168.747204,3918.741442,337.499306,1337.496817,2043.745806,5506.237539,5574.986744,0.017816
0.763,0.128,0.0,0.0,17.0,2874.998406,6506.246457,787.499607,1643.749042,3474.99812,9712.494639,13243.742713,0.018539
0.757,0.243,0.0,0.0,17.0,2093.748765,6174.996404,624.999664,1843.748943,3268.748022,8649.994951,9568.744225,0.015626
0.331,0.2,0.536,0.0,17.0,312.499836,1856.249133,181.249927,587.499722,1012.499516,2331.248883,23899.987912,0.000761
0.89,0.11,0.0,0.097,17.0,1593.749394,4637.498231,543.749823,1374.999467,2412.499059,6637.497502,12906.245047,0.009359
0.866,0.134,0.0,0.0,17.0,3099.99882,7168.747215,818.749678,1768.749304,3874.998502,10568.745936,14712.494346,0.017792
0.654,0.346,0.984,0.0,17.0,449.99996,2862.499746,199.999982,643.749943,1868.749834,3393.749697,39037.496461,0.000597
0.671,0.18,0.0,0.0,17.0,1893.748402,5881.245002,656.249362,1818.748506,3074.99745,8174.993028,9374.991876,0.017088
0.532,0.468,1.0,0.0,17.0,481.249916,3131.249498,224.999951,687.49989,2143.749671,3824.999397,36774.994187,0.00067
0.0,0.403,0.861,0.0,17.0,193.74994,1668.749506,81.24997,537.499856,981.249703,1962.49943,29268.741504,0.000428
0.524,0.476,0.688,0.312,17.0,68.749961,974.999439,49.999948,299.999833,593.749679,1156.249351,9881.245443,0.000261
0.87,0.13,0.0,0.0,17.0,3256.24836,7131.246508,806.249632,1712.499139,3943.748065,10699.994679,15237.492511,0.017977
0.884,0.116,0.071,0.0,17.0,3406.248134,7462.495732,937.499425,1887.498878,3968.747769,11318.743617,22818.737097,0.011929
0.647,0.353,0.302,0.0,17.0,1343.749113,5993.745958,562.499602,1574.998771,3593.747733,7706.244809,20706.236592,0.003729
0.048,0.337,0.0,0.0,17.0,12.499077,737.479808,12.499557,212.494791,512.48546,831.226358,956.225439,0.0111
0.502,0.498,0.255,0.0,17.0,1362.49916,6187.4963,493.749688,1799.99897,3618.747813,8043.745175,16581.240503,0.004609
0.183,0.554,0.557,0.0,17.0,537.499716,3262.498433,193.749905,693.7497,2262.498877,4062.498018,21637.489693,0.001301
0.412,0.588,0.0,0.0,17.0,649.998369,3843.740754,237.499329,987.497896,2456.243919,4774.988415,3706.241453,0.012985
0.354,0.646,0.654,0.0,17.0,743.749777,4356.248824,243.749939,1018.749737,2887.499211,5368.748549,25974.992925,0.001425
0.006,0.689,0.205,0.0,17.0,324.999555,3043.745563,81.249875,724.998877,2137.496958,3537.494919,11331.23389,0.003076
0.343,0.657,0.311,0.283,17.0,93.749714,1431.247587,81.249837,362.499378,968.748405,1668.74699,6143.739448,0.00074
0.0,0.675,1.0,0.0,17.0,337.499946,2874.999605,143.749982,699.999897,1962.499734,3481.24951,31993.745531,0.00065
0.224,0.776,0.733,0.0,17.0,712.499795,4243.748879,199.999944,1037.499747,2856.249224,5281.248607,26424.993066,0.001284
0.541,0.459,0.0,0.0,17.0,1056.247816,5056.240776,306.249511,1237.497683,3281.24402,6468.737991,4824.991106,0.014636
0.593,0.25,0.18,0.0,17.0,1731.248947,5562.496563,562.499635,1656.24899,2968.74815,7612.495271,18293.739159,0.005569
0.162,0.838,0.103,0.0,17.0,524.999135,3868.743387,174.999727,812.498629,2712.495252,4593.742074,7893.735442,0.006121
0.0,0.884,0.826,0.0,17.0,474.999881,3481.249164,193.749949,731.249829,2437.499422,4262.498966,26299.993139,0.000956
0.0,0.834,0.568,0.288,17.0,56.249962,937.499343,24.999969,231.249846,674.999528,1112.499222,7506.244853,0.000326
0.036,0.964,0.16,0.0,17.0,456.249435,3662.495439,149.999823,674.999137,2699.996657,4343.744572,9287.48847,0.004456
0.794,0.206,0.058,0.0,17.0,2762.498255,7031.245376,718.749566,1899.998731,3881.247419,10193.743407,16212.489429,0.011839
0.429,0.139,0.129,0.134,17.0,262.499543,1474.997193,118.749726,649.998816,649.998756,1918.746379,7662.486171,0.001706
0.278,0.722,0.0,0.0,17.0,487.499034,3018.743605,99.99981,687.498552,2074.995545,3612.492423,2362.494975,0.012489
0.001,0.999,0.979,0.0,17.0,531.249935,4156.249408,149.99998,912.499866,2899.99959,4912.49931,31431.245706,0.000929
0.654,0.271,0.052,0.041,15.0,1268.74829,4181.244456,299.999644,1249.99834,2393.746788,5706.242433,8412.48925,0.008826
0.824,0.176,0.0,0.0,15.0,2149.998253,5012.495698,574.999476,1331.24874,2712.497791,7406.243701,8793.742392,0.019161
0.794,0.206,0.615,0.0,15.0,418.749887,2393.749331,193.749934,574.999831,1518.749601,2881.249202,33162.490909,0.000769
0.802,0.198,0.0,0.243,15.0,437.499696,2062.498626,162.499882,724.999498,1081.24931,2718.74822,5068.746355,0.00431
0.389,0.182,0.0,0.0,15.0,868.745964,2899.986969,193.749028,887.496201,1649.99254,4062.481839,3474.984432,0.021194
0.909,0.091,0.0,0.0,15.0,2812.499051,5212.498126,781.249736,1137.499588,2706.249022,8243.747096,13524.995176,0.020707
0.543,0.066,0.0,0.0,15.0,1799.998181,3431.246434,518.749475,906.248969,1687.498285,5449.994264,9024.990341,0.023213
0.828,0.057,0.509,0.0,15.0,187.499954,874.999833,56.249987,206.249975,593.749874,1131.249775,30918.743801,0.000359
0.749,0.086,0.0,0.168,15.0,631.249294,2412.497291,168.749852,924.998844,1224.998728,3262.496424,6381.242519,0.006357
0.611,0.389,0.259,0.0,15.0,1543.749185,4868.747277,449.999801,1281.249258,2837.498363,6781.246249,19831.238663,0.003953
0.492,0.508,0.064,0.0,15.0,1218.74733,4449.990192,343.749203,1112.497359,2787.494125,6012.486872,8387.48133,0.009775
0.515,0.485,0.764,0.0,15.0,681.249845,3124.999311,249.999936,768.749833,1899.999589,3868.749139,31806.24263,0.000863
0.361,0.639,0.359,0.0,15.0,874.999649,4418.747957,337.499852,1112.499501,2774.998692,5781.247383,18943.741528,0.002645
0.216,0.784,0.486,0.0,15.0,806.249613,3799.997994,168.749916,999.999506,2406.248705,4874.997452,21681.238074,0.001723
0.775,0.125,0.0,0.0,13.0,1718.748327,4049.996177,443.749603,968.749094,2243.747765,5968.744194,7418.742496,0.021883
0.651,0.118,0.0,0.0,15.0,1837.498114,4243.746002,449.999591,1231.248766,2181.248008,6318.743946,7774.992416,0.021249
0.764,0.236,0.0,0.0,13.0,1262.498451,3968.745099,343.749518,1049.998644,2324.99722,5543.74319,5406.243634,0.019375
0.324,0.167,0.0,0.0,13.0,468.747642,2331.235814,187.498666,818.744904,1168.742886,2912.482769,2593.735171,0.023459
0.989,0.011,0.0,0.0,13.0,4174.998669,3374.99891,524.999828,643.749818,987.499658,7756.247483,31281.240213,0.032381
0.961,0.039,0.0,0.188,13.0,531.249363,2012.498063,168.749903,887.499079,868.749192,2781.24732,6962.493342,0.005295
0.648,0.017,0.0,0.0,13.0,2943.747132,2512.497419,462.499563,431.249477,837.499181,5743.744344,19718.730796,0.035744
0.971,0.029,0.41,0.0,13.0,99.999956,606.249716,43.749982,99.999972,431.249773,712.499674,30274.986224,0.000273
0.035,0.965,0.615,0.0,15.0,681.249614,3949.997831,224.999859,962.499431,2581.248624,4881.247303,24718.736069,0.001409
0.114,0.886,0.0,0.0,15.0,174.998092,1537.488388,37.499749,337.497122,1106.242009,1831.235861,1081.240328,0.01411
0.295,0.705,1.0,0.0,15.0,431.24994,2999.999617,143.749987,687.499908,2043.74974,3549.999542,36324.995317,0.000621
0.998,0.002,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,31874.956665,0.0
0.0,0.487,0.363,0.0,15.0,449.999787,1999.998802,43.749969,618.749611,1187.499316,2587.498541,18187.490135,0.001286
0.0,0.871,1.0,0.0,15.0,606.249903,3224.999493,124.999982,668.749905,2181.249643,3812.499396,34849.994724,0.000683
0.097,0.903,0.691,0.309,15.0,87.499962,1006.249465,81.249966,268.749874,624.999641,1156.249383,9912.494809,0.000269
0.569,0.431,0.0,0.199,15.0,381.248829,2368.742908,168.749524,743.747634,1387.495939,2968.741039,3093.741551,0.005932
0.0,0.664,0.0,0.0,15.0,37.499768,656.231843,6.249839,74.997844,562.484254,731.230831,556.23631,0.013166
