yb_1,er_1,yb_2,er_2,radius,UV,VIS,BLUE,GREEN,RED,TOTAL,ABSORPTION,qe
0,0,0.000605,0.022689,25.868183,0,0,0,0,0,0,55.993643,0
0,0,0.003761,0.448441,16.14716,0,31.249488,0,18.749654,12.499834,31.249488,274.996538,7.10E-05
0,0,0.006742,0.739069,32.400196,0,0,0,0,0,0,18.744064,0
0,0,0.008852,0.007684,27.06995,0,0,0,0,0,0,324.796671,0
0,0,0.010719,0.051846,17.191846,0,0,0,0,0,0,743.651654,0
0,0,0.013336,0.046653,5.260662,0,137.487869,0,93.739044,43.748825,168.732006,1493.594441,0.001399
0,0,0.017858,0.09207,32.95575,0,0,0,0,0,0,49.937988,0
0,0,0.026575,0.015314,31.438896,0,0,0,0,0,0,218.460532,0
0,0,0.033637,0.011516,7.593332,6.24986,81.247393,0,37.498874,43.748519,106.246749,5606.061833,0.000569
0,0,0.044137,0.088696,21.203747,0,6.248788,0,6.248788,0,6.248788,1418.648515,2.30E-05
0,0,0.045196,0.23931,16.478194,0,12.499953,0,6.249974,6.249979,12.499953,931.209623,2.80E-05
0,0,0.046891,0.160963,26.71347,0,0,0,0,0,0,412.402515,0
0,0,0.051806,0.196723,31.187588,0,0,0,0,0,0,212.454761,0
0,0,0.061592,0.186134,28.824297,0,0,0,0,0,0,474.900161,0
0,0,0.075894,0.110067,25.581341,0,0,0,0,0,6.249662,1243.730326,1.80E-05
0,0,0.079161,0.054211,20.297447,0,24.999569,0,18.749726,6.249843,31.24944,3293.699074,7.50E-05
0,0,0.079747,0.033728,29.24665,0,0,0,0,0,0,987.422024,0
0,0,0.102666,0.893457,19.71165,0,31.249507,0,12.499838,18.74967,37.49938,581.2458,3.00E-05
0,0,0.109984,0.346793,16.685874,0,12.499857,0,6.249897,6.249961,18.749812,1537.492219,2.10E-05
0,0,0.120573,0.855081,9.778718,12.49998,156.24971,0,93.749864,62.499846,193.749605,1618.746194,0.000123
0,0,0.143145,0.300503,23.346718,0,0,0,0,0,0,924.991843,0
0,0,0.146018,0.045821,6.415865,149.999658,624.99841,37.499877,318.749202,249.999384,899.997766,9606.224871,0.000996
0,0,0.147356,0.16279,8.790444,68.749841,493.74795,31.249897,181.249085,268.748988,599.997685,4162.482361,0.000574
0,0,0.154832,0.798582,15.849799,0,49.999783,0,6.249992,43.749792,62.499761,1356.245531,3.90E-05
0,0,0.171625,0.543882,13.451353,12.499959,106.249539,6.249997,49.999852,49.999689,174.999289,1674.992755,0.000116
0,0,0.187773,0.658503,10.34382,18.749862,249.998933,18.749866,106.249594,124.999473,324.998689,2199.992826,0.000183
0,0,0.230154,0.652969,5.526153,24.999902,299.999063,6.249995,112.49965,174.999466,374.998805,2849.990645,0.00018
0,0,0.268997,0.246067,16.632197,6.249985,131.249697,6.249982,74.999823,49.999892,193.749543,3793.740897,0.000116
0,0,0.28137,0.049365,28.38539,0,0,0,0,0,0,2681.226123,0
0,0,0.291945,0.245754,20.996771,0,56.249776,0,49.999805,6.24997,74.999715,3224.991167,4.70E-05
0,0,0.297006,0.15572,12.137875,31.249926,462.498973,31.249937,274.999332,149.999721,612.498669,7087.485042,0.000326
0,0,0.319661,0.584353,16.09441,18.749972,187.49964,18.749972,87.499839,74.999839,224.999586,2968.744507,9.80E-05
0,0,0.393553,0.102354,11.825334,93.749891,593.749597,49.999963,306.249818,237.499817,743.749431,10837.49175,0.000312
0,0,0.410182,0.025881,28.212337,6.249955,6.249955,0,0,0,6.249955,3737.487457,6.00E-06
0,0,0.444908,0.016614,9.487477,56.249969,218.749757,24.999954,131.249837,49.999973,312.499691,21512.48221,0.00012
0,0,0.541362,0.319373,9.888751,56.24997,518.749753,31.249974,243.749894,237.49989,706.249657,7918.745936,0.0002
0,0,0.556766,0.272791,19.856497,12.49998,87.499833,18.749942,43.749929,24.999961,149.999707,5924.989423,5.10E-05
0,0,0.625724,0.06942,21.141263,0,81.249931,18.749974,49.999963,12.499994,93.749902,11506.24068,3.10E-05
0,0,0.653401,0.034599,30.798744,0,0,0,0,0,0,2574.979659,0
0,0,0.659883,0.173454,27.811263,0,0,0,0,0,0,3324.993425,0
0,0,0.700377,0.258501,31.379333,0,0,0,0,0,0,1243.744531,0
0,0,0.835316,0.123814,9.934037,87.499982,649.999821,43.749991,293.749915,299.999918,843.749779,19481.2444,0.000167
0.00068,0.018589,0.379789,0.414459,8.370268,37.499956,506.24957,24.99996,218.749816,256.249794,618.749446,5306.245282,0.000228
0.000987,0.000471,0.142209,0.590874,16.28296,0,37.499888,0,31.24993,6.249957,68.749835,1437.494632,5.20E-05
0.001068,0.156604,0.394039,0.217919,21.641522,6.249998,174.999276,18.749908,99.999626,49.999744,199.999184,4031.235044,9.90E-05
0.001242,0.00224,0.079401,0.183428,10.514784,24.999803,212.49842,12.499929,93.749368,106.249123,281.247686,2137.481844,0.000434
0.0014,0.000238,0.053582,0.648654,23.014412,0,0,0,0,0,0,387.493205,0
0.001909,0.628199,0.257563,0.191627,31.160403,6.249944,124.999177,0,24.999854,99.999323,137.499066,1037.492767,0.000145
0.002018,0.000325,0.020405,0.034865,21.790348,0,0,0,0,0,0,1605.893937,0
